letter,count_all,count_uppercase,percentage
e,35,0,12.068965517241379
w,13,1,4.482758620689655
s,17,2,5.862068965517241
o,15,0,5.172413793103448
m,10,0,3.4482758620689653
h,9,0,3.103448275862069
r,18,1,6.206896551724138
j,1,0,0.3448275862068966
u,9,0,3.103448275862069
t,47,6,16.20689655172414
i,9,0,3.103448275862069
n,15,3,5.172413793103448
g,3,0,1.0344827586206897
a,22,2,7.586206896551724
p,8,2,2.7586206896551726
d,8,0,2.7586206896551726
x,13,0,4.482758620689655
c,4,0,1.3793103448275863
l,9,0,3.103448275862069
y,7,1,2.413793103448276
b,3,1,1.0344827586206897
f,8,0,2.7586206896551726
k,5,2,1.7241379310344827
v,2,0,0.6896551724137931
