letter,count_all,count_uppercase,percentage
r,8,1,4.705882352941177
i,5,0,2.9411764705882355
v,1,0,0.5882352941176471
a,15,1,8.823529411764707
t,15,0,8.823529411764707
e,21,0,12.352941176470589
d,5,0,2.9411764705882355
u,7,0,4.117647058823529
y,6,1,3.5294117647058822
n,14,3,8.235294117647058
l,7,0,4.117647058823529
p,5,1,2.9411764705882355
h,8,0,4.705882352941177
c,2,0,1.1764705882352942
s,13,2,7.647058823529412
f,1,0,0.5882352941176471
w,10,0,5.882352941176471
o,9,0,5.294117647058823
m,4,0,2.3529411764705883
g,3,0,1.7647058823529411
x,1,0,0.5882352941176471
b,4,2,2.3529411764705883
j,1,0,0.5882352941176471
k,5,2,2.9411764705882355
